19680615	6/15/68	0	16.3
19680615	6/15/68	1	16.1
19680615	6/15/68	2	15.3
19680615	6/15/68	3	14.8
19680615	6/15/68	4	9.1
19680615	6/15/68	5	6.9
19680615	6/15/68	6	5.5
19680615	6/15/68	7	5.1
19680615	6/15/68	8	5
19680615	6/15/68	9	4.9
19680615	6/15/68	10	4.8
19680615	6/15/68	10.4	4.8
19680706	7/6/68	0	18.7
19680706	7/6/68	1	18.7
19680706	7/6/68	2	17.7
19680706	7/6/68	3	15.1
19680706	7/6/68	4	9.5
19680706	7/6/68	5	6.8
19680706	7/6/68	6	5.8
19680706	7/6/68	7	5.1
19680706	7/6/68	8	4.8
19680706	7/6/68	9	4.6
19680706	7/6/68	10	4.4
19681109	11/9/68	0	3.1
19681109	11/9/68	1	3.4
19681109	11/9/68	2	3.6
19681109	11/9/68	3	3.9
19681109	11/9/68	4	4
19681109	11/9/68	5	4
19681109	11/9/68	6	4
19681109	11/9/68	7	4
19681109	11/9/68	8	4
19681109	11/9/68	9	4.1
19681109	11/9/68	10	4.4
19681109	11/9/68	10.5	5.1
19690121	1/21/69	0	1.5
19690121	1/21/69	1	3
19690121	1/21/69	2	4
19690121	1/21/69	3	4.2
19690121	1/21/69	4	4.3
19690121	1/21/69	5	4.6
19690121	1/21/69	6	4.8
19690121	1/21/69	7	4.8
19690121	1/21/69	8	4.8
19690121	1/21/69	9	4.8
19690121	1/21/69	10	5
19690121	1/21/69	11	5
19690422	4/22/69	0	4.5
19690422	4/22/69	1	4.5
19690422	4/22/69	2	4.4
19690422	4/22/69	3	4.4
19690422	4/22/69	4	4.4
19690422	4/22/69	5	4.3
19690422	4/22/69	6	4.3
19690422	4/22/69	7	4.2
19690422	4/22/69	8	4.3
19690422	4/22/69	9	4.4
19690422	4/22/69	10	4.4
19690507	5/7/69	1	11.8
19690507	5/7/69	2	11.8
19690507	5/7/69	3	10
19690507	5/7/69	4	5.5
19690507	5/7/69	5	5.2
19690507	5/7/69	6	5.1
19690507	5/7/69	7	4.9
19690507	5/7/69	8	4.2
19690507	5/7/69	9	4.2
19690507	5/7/69	10	4
19690517	5/17/69	0	12.7
19690517	5/17/69	1	11.7
19690517	5/17/69	2	11.3
19690517	5/17/69	3	8.7
19690517	5/17/69	4	6.6
19690517	5/17/69	5	5
19690517	5/17/69	6	4.6
19690517	5/17/69	7	4.4
19690517	5/17/69	8	4.4
19690517	5/17/69	9	4.4
19690517	5/17/69	10	4.4
19690517	5/17/69	10.2	4.4
19690527	5/27/69	0	17.2
19690527	5/27/69	1	16.8
19690527	5/27/69	2	14.1
19690527	5/27/69	3	11.4
19690527	5/27/69	4	8.1
19690527	5/27/69	5	6.1
19690527	5/27/69	6	4.8
19690527	5/27/69	7	4.5
19690527	5/27/69	8	4.4
19690527	5/27/69	9	4.4
19690527	5/27/69	10	4.4
19690611	6/11/69	0	16.7
19690611	6/11/69	1	16.7
19690611	6/11/69	2	15.6
